index,uid,cluster,friend_count,status_count,follower_count,friends_day,statuses_day,followers_day,retweet_pro,dmention_pro,reply_pro,retweet_div,reply_div,mention_div,i,we,negate,swear,social,posemo,negemo,body,health,ingest,prostr
10,44,0,74,16866,11658,0.1219110379,27.7858319605,19.2059308072,0.1301498127,0.1298377029,0.0290262172,7.4645170802,5.6522673416,3.8033937592,0.1444256003,0.0033473177,0.0353030438,0.0077211461,0.0717664911,0.037043649,0.0570382933,0.0194590735,0.0220476658,0.0424439882,0.0018726592
11,53,0,170,454,283,0.1622137405,0.4332061069,0.2700381679,0.2152466368,0.5246636771,0.1591928251,2.965959702,2.1213450172,2.8480112327,0.039257397,0.0083156063,0.0152775092,0.0001933862,0.109649971,0.079481725,0.0199187778,0.0112163991,0.0112163991,0.0164378263,0
12,54,0,202,3166,252,0.1720613288,2.6967632027,0.2146507666,0.0462427746,0.2366730893,0.171162492,3.4820805172,2.9588667269,2.8811814053,0.069576744,0.0036375967,0.0171090354,0.0172015167,0.0860692376,0.0796263757,0.0343722063,0.0122691822,0.009494744,0.0311045347,0.0028901734
13,55,0,1045,600,626,6.6987179487,3.8461538462,4.0128205128,0.1005291005,0.2134038801,0.0335097002,3.8849411755,2.9251973298,3.3899320552,0.1111925261,0.0036636747,0.0344385419,0.0076937168,0.0710752885,0.0555046712,0.0401172376,0.0243634365,0.0179520059,0.0457959333,0
14,62,0,2231,2796,9465,2.2929085303,2.8735868448,9.7276464543,0.0759651308,0.1137401411,0.1556662516,5.7799917517,5.1400211671,3.7092816059,0.1153678193,0.0021437929,0.0277502084,0.0053991822,0.069077772,0.0409702648,0.0312437969,0.0157211481,0.0137361547,0.023343523,0.00290577
15,83,0,726,13772,1267,0.2819417476,5.3483495146,0.492038835,0.0451713396,0.1663551402,0.3236760125,4.8186103641,4.5506145925,4.3080126799,0.0741450019,0.0046250294,0.0252750628,0.0039023685,0.0803056855,0.0380661596,0.0321222742,0.0127188307,0.0106773139,0.015121678,0.000623053
16,84,0,867,8809,2076,0.8087686567,8.2173507463,1.9365671642,0.0122410546,0.1249215317,0.5147520402,4.5645311825,4.494333319,3.943285558,0.0976452974,0.0038927453,0.0220498163,0.0018510957,0.0937253301,0.0728188376,0.0205253845,0.0081938206,0.011514904,0.0224581462,0.0012554928
17,85,0,1737,18846,3199,1.53309797,16.6337157988,2.8234774934,0.0400994716,0.0976064657,0.472800746,6.3129569585,4.532013577,3.2347101667,0.1004010208,0.0035484263,0.0263944586,0.0054198566,0.0819054563,0.0478065379,0.0294081905,0.0146068781,0.0110827561,0.0155304411,0
18,86,0,25,23584,9852,0.0235404896,22.2071563089,9.2768361582,0.7290192113,0.6963262555,0.0950455005,5.519624955,5.2297988106,4.9211202183,0.0272264631,0.0072519084,0.0223918575,0.0008905852,0.1129770992,0.0563613232,0.0127226463,0.0043256997,0.0059796438,0.0146310433,0.0101112235
19,87,0,21400,26208,39514,20.1506591337,24.6779661017,37.2071563089,0.039625585,0.0424336973,0.1488299532,8.3893598437,6.4174000462,5.1912239535,0.1353296193,0.0027468276,0.0384168988,0.0118384401,0.0971061591,0.0482048901,0.0579541937,0.0160554008,0.0167130919,0.0146239554,0
20,88,0,878,2401,844,0.9117341641,2.4932502596,0.8764278297,0.0972696246,0.1646757679,0.3003412969,4.7359861577,4.7234620922,3.4843451093,0.0703230438,0.0041062455,0.0349461594,0.0036468055,0.1366547021,0.0752045944,0.0289447236,0.0113711414,0.0101076813,0.007666906,-0.0008532423
21,89,0,48,242,43,0.1240310078,0.6253229974,0.1111111111,0.0625,0.1,0.1333333333,1.8343719703,0.4306628575,3.3280032083,0.0768494898,0.0009566327,0.0117984694,0.0044642857,0.0258290816,0.0267857143,0.0491071429,0.0277423469,0.0271045918,0.0631377551,-0.0083333333
22,90,0,1695,12523,529,0.6579968944,4.8614130435,0.2053571429,0.0568852969,0.3267018962,0.1753186198,1.8237829672,3.8087949152,4.2735479377,0.0638077935,0.0040721714,0.0251848139,0.012122541,0.0917804786,0.0511527378,0.0378398697,0.0153489538,0.0077058013,0.0070166646,0.0018650917
23,91,0,968,2211,1264,0.9072164948,2.0721649485,1.1846298032,0.3082329317,0.2705823293,0.0908634538,5.9764274362,4.7659842802,3.0082768026,0.1412083501,0.0024086712,0.0220794862,0.0116419109,0.0919309514,0.0706543557,0.0568044962,0.0302087515,0.023685267,0.0359293456,0.0411646586
24,121,0,2407,12504,15991,1.2899249732,6.7009646302,8.5696677385,0.1495181846,0.4572583152,0.0646565123,3.8833120224,2.4806795523,3.6961828671,0.0054321777,0.0101613676,0.0079565426,0.000095862,0.1459977632,0.0451509826,0.0387282313,0.0080204506,0.0260424988,0.0047930979,0
25,132,0,810,3265,1019569,0.3194006309,1.2874605678,402.038249211,0.141081417,0.3418272219,0.0546923555,4.0354401097,3.1120282168,3.450161711,0.0018785415,0.0078221237,0.0078529194,0,0.0873059867,0.0445922641,0.0318736142,0.0234971668,0.0697524021,0.0211566888,0
26,142,0,451,2120,369,0.1870593115,0.8793031937,0.1530485276,0.3669467787,0.3535014006,0.0817927171,4.7472064183,3.7483404341,3.1421357345,0.099749414,0.0025058605,0.0285344758,0.0098617735,0.0812383801,0.0500363754,0.043327136,0.012367634,0.0135801471,0.0273219627,0.0056022409
27,143,0,26,1668,1830,0.0300578035,1.9283236994,2.1156069364,0.0246987952,0.0487951807,0.0463855422,5.8593748068,4.0512775804,3.2224420809,0.1134966233,0.002066324,0.0342707388,0.005896583,0.0632496724,0.0314484427,0.0384537849,0.0203104526,0.0156234251,0.037798609,0.0018072289
28,154,0,73,903,71,0.055682685,0.6887871854,0.054157132,0.1956782713,0.2256902761,0.0168067227,3.7862593384,1.529248293,2.8019868726,0.0958514702,0.0045305143,0.0249622457,0.003908679,0.0648485387,0.0376654526,0.0300257617,0.0151017145,0.0181220574,0.0284267567,0.0012004802
29,155,0,404,3469,2495,1.1847507331,10.1730205279,7.3167155425,0.1443604078,0.1732982572,0.1548832621,5.9554632833,5.2184730644,4.4484948428,0.1029806885,0.0026028547,0.0202770781,0.0070109152,0.08434089,0.057388749,0.0309823678,0.0204450042,0.0136859782,0.0255247691,0.0657678395
30,166,0,118,1872,118,0.046899841,0.7440381558,0.046899841,0.4322033898,0.4768361582,0.0762711864,3.926327055,2.7347255499,3.5303243123,0.0937939571,0.003263377,0.0206492995,0.001856749,0.0787711698,0.0514825859,0.0272885838,0.0117031452,0.0082147077,0.0059078377,0
31,167,0,74,118,154,0.7184466019,1.145631068,1.4951456311,0.1465517241,0.1637931034,0.0344827586,2.4799555205,1.0397207708,4.3462175365,0.0896830748,0.0026972353,0.0370869858,0.0020229265,0.0815913688,0.0350640593,0.0472016183,0.0094403237,0.0215778827,0.0411328388,0.025862069
32,168,0,347,5825,110,0.1553963278,2.6085982983,0.0492610837,0.2045454545,0.2691558442,0.0850649351,3.4289486429,2.0623990607,2.5568467939,0.0873599149,0.0047886668,0.0282996907,0.0102756809,0.075554521,0.0424329088,0.0372119318,0.0112733198,0.0076818197,0.005852815,0.0003246753
33,169,0,74,3493,288,0.2341772152,11.0537974684,0.9113924051,0,0.3384375,0.0140625,4.2275208663,2.681896617,3.5440745262,0.1044855135,0.0029357975,0.0237751468,0.0151121378,0.0804697276,0.035446145,0.0423765521,0.0232457407,0.0182163827,0.0319328136,0.0009375
34,171,0,633,287,662,0.4016497462,0.182106599,0.4200507614,0.2490421456,0.2183908046,0.091954023,3.4448137975,2.0075563074,2.1873223189,0.101037438,0.0022553,0.0166892197,0.0099233198,0.0748759585,0.0460081191,0.0433017591,0.0121786198,0.0148849797,0.0378890392,0.0038314176
35,172,0,277,222,151,2.4298245614,1.9473684211,1.3245614035,0.1442307692,0.1298076923,0.0721153846,3.2905621956,2.3356484055,4.8709302391,0.1116645911,0.00373599,0.0332088003,0.0120381901,0.0701535907,0.0369447904,0.0369447904,0.0236612702,0.0273972603,0.0386052304,0.0144230769
36,175,0,444,3103,198,0.1770334928,1.2372408294,0.0789473684,0.2853127196,0.4574841883,0.0256500351,4.2627993014,2.5400363038,3.9679055164,0.0504941522,0.0072935998,0.0173924302,0.0027189159,0.0872642527,0.0656855552,0.0197229295,0.0093219973,0.0074662293,0.0073799145,0
37,176,0,591,591,19203,0.5166083916,0.5166083916,16.7858391608,0.1657754011,0.3315508021,0.2156862745,6.3852676398,4.6435445263,4.359380728,0.0765889346,0.0045724737,0.0473251029,0.0084590764,0.1291723823,0.0667581161,0.0356652949,0.0141746685,0.0153177869,0.0358939186,0.0071301248
38,177,0,76,178,46,0.5390070922,1.2624113475,0.3262411348,0.2925170068,0.2108843537,0.0204081633,2.7985132569,0,4.1142555398,0.0966744006,0.0030935808,0.0309358082,0.0177880897,0.0672853828,0.0324825986,0.0448569219,0.0255220418,0.0224284609,0.0355761794,0
39,178,0,137,4997,340,0.0560098119,2.0429272281,0.139002453,0.049732452,0.1706011961,0.060434372,3.1463456225,3.6528190549,3.5440361223,0.1139699995,0.0028826136,0.0250627235,0.0062723536,0.0728927561,0.0400096087,0.0349917258,0.016388192,0.0145465222,0.0244755245,0.0025180988
40,180,0,438,586,859,0.3164739884,0.4234104046,0.6206647399,0.0651408451,0.1091549296,0.1285211268,4.3482992774,3.1778530697,3.2877977057,0.0563528637,0.0026333114,0.0218564845,0.0073732719,0.0928242265,0.0496379197,0.0283080974,0.0097432521,0.0072416063,0.0194865043,0.0070422535
41,181,0,183,2016,447,0.9891891892,10.8972972973,2.4162162162,0.0528434826,0.2516356316,0.2133870156,4.0888794565,3.5953063706,2.7819254708,0.1027142857,0.00375,0.0312857143,0.0046785714,0.0946785714,0.0740714286,0.0351071429,0.0108571429,0.00875,0.0215357143,0.0105686965
42,185,0,409,1073,172,0.1693581781,0.4443064182,0.0712215321,0.3849372385,0.4341004184,0.0868200837,4.6589867049,3.1622406385,3.4743791278,0.0826718077,0.0044227716,0.022113858,0.0127012928,0.0674756181,0.0503515536,0.0349285552,0.0154229984,0.0129281016,0.0242685416,0.0094142259
43,186,0,1963,2366,1434,1.5894736842,1.9157894737,1.1611336032,0.3084245597,0.2879581152,0.0970966207,5.4564983482,3.9924440452,3.157681533,0.0953405459,0.0015367593,0.022682567,0.0080526186,0.0752397344,0.047516597,0.0319031227,0.0103270224,0.0115564298,0.0190558151,0
44,187,0,22360,7055,22536,16.9137670197,5.3366111952,17.0468986384,0.2351453856,0.2582174463,0.0982932996,7.1204965324,5.8469776566,4.758433834,0.1193230426,0.006434815,0.0235075321,0.0004463455,0.0845452855,0.0259624326,0.021089827,0.006918356,0.0040543054,0.0106750976,0.0139064475
45,189,0,19967,4622,18868,7.9868,1.8488,7.5472,0.1176657152,0.1471614336,0.052013955,6.0546963405,4.3795116202,4.0785838333,0.0423695567,0.0098731529,0.0250425003,3.26925591735E-005,0.1423107101,0.0532234863,0.0389041454,0.0040865699,0.0122924022,0.002746175,0.0003171583
46,190,0,200,10865,133,0.0799360512,4.3425259792,0.053157474,0.5587576049,0.6753121998,0.2055715658,3.1959674347,2.8654884072,3.2447078592,0.0728300632,0.0023279016,0.0210176255,0.006185567,0.0756235451,0.0530096442,0.0266711008,0.009843698,0.0043897572,0.0051878949,0.0019212296
47,191,0,13,5111,11840,0.0113735783,4.4715660542,10.3587051619,0.5005059022,0.4623946037,0.0145025295,5.5529162838,5.0019295102,3.71384446,0.0070965925,0.0029850746,0.009011546,0.0002816108,0.0531681217,0.029062236,0.014193185,0.0158265277,0.0210081667,0.0838637004,0
48,192,0,17,9073,7629,0.0164728682,8.7916666667,7.3924418605,0.2607282185,0.2421976593,0.0198309493,6.4372060068,5.1694704902,4.2706061878,0.0169327252,0.0043329532,0.0184150513,0.0002850627,0.0905359179,0.0309007982,0.0208095781,0.0236602052,0.0257126568,0.0589509692,0.0052015605
49,193,0,93,858,69,0.0426214482,0.3932172319,0.0316223648,0.2694369973,0.2345844504,0.0067024129,3.9939930794,0.6365141683,1.1537419427,0.0939323221,0.0037922987,0.0223162194,0.0141481914,0.0606767795,0.030630105,0.0406942824,0.0249416569,0.0243582264,0.0395274212,0
50,194,0,63,279,172,0.8513513514,3.7702702703,2.3243243243,0.115942029,0.1123188406,0.0217391304,1.4226947225,1.5498260459,6.3542151843,0.1226692836,0,0.0245338567,0.0068694799,0.0736015702,0.0343473994,0.0294406281,0.0245338567,0.0137389598,0.0323846909,0.0036231884
51,196,0,1837,8447,1489,0.9410860656,4.3273565574,0.762807377,0.0399746193,0.1890862944,0.4419416244,4.3628774808,4.5981319536,4.018323813,0.0995569851,0.0045211798,0.0277036048,0.0104078165,0.0831108144,0.0498543513,0.0367459643,0.016779949,0.0139276611,0.0238803253,0.0041243655
52,197,0,999,8527,2611,0.6407953817,5.4695317511,1.674791533,0.03472005,0.1391929934,0.2198936503,6.3159993274,3.8733868726,4.0471854322,0.0792876588,0.0047186933,0.0283575318,0.0049455535,0.094600726,0.0475045372,0.0371370236,0.0153584392,0.0204174229,0.0262250454,0.0078198311
53,198,0,95,34021,4733,0.0652024708,23.3500343171,3.248455731,0.1210230817,0.2476606363,0.0009357455,7.056398182,5.7303957062,6.029055268,0.0061506249,0.0041222273,0.0289864555,0.0001962965,0.1263495387,0.0606556304,0.0225086698,0.0091605051,0.0107308774,0.0066086501,0
54,199,0,142,10115,2098,0.1010676157,7.1992882562,1.4932384342,0.0161741835,0.033281493,0.1592534992,6.3011915185,4.7701611382,3.6128917038,0.1109159953,0.0013389819,0.0302917225,0.0043681542,0.0466887635,0.0396426455,0.0302478214,0.0107557565,0.0151239107,0.0569835591,0.0034214619
55,200,0,4341,2100,4692,3.8078947368,1.8421052632,4.1157894737,0.0888998035,0.2455795678,0.4332023576,5.4981231577,5.1326255546,3.7642756272,0.0963780283,0.0049412329,0.0189014152,0.0023986568,0.1082273927,0.0703765891,0.0259534661,0.0141520748,0.0092108419,0.0170784361,0.0221021611
56,201,0,1382,31628,1835,1.3847695391,31.6913827655,1.8386773547,0.4335863378,0.4041745731,0.2204301075,6.3100860852,4.8716090863,3.674464104,0.1274254272,0.0016796988,0.0191138141,0.0049811758,0.0517810599,0.0551404576,0.0289024037,0.0145960035,0.0106573994,0.0286707211,0.0224541429
57,202,0,169,1955,2350,0.2934027778,3.3940972222,4.0798611111,0.2038939968,0.2011898323,0.0854515955,6.4926980883,4.7518467976,3.9244837682,0.110561271,0.0025393932,0.0281286626,0.000911577,0.0709727829,0.04382081,0.0277379867,0.0179059773,0.0158223727,0.0419976559,0.0005408329
58,203,0,813,1211,1377,0.4796460177,0.7144542773,0.8123893805,0.2285464098,0.2609457093,0.1584938704,5.3412824939,4.3934659266,3.3702246649,0.1003199505,0.0019609867,0.0212612241,0.0018577769,0.0562493549,0.0494375065,0.0222933223,0.0169264114,0.011249871,0.0413871401,0.0017513135
59,204,0,1486,13115,73878,1.2582557155,11.1049957663,62.5554614733,0.0204338258,0.0477837158,0.2093681232,7.7800800296,6.2777506039,5.3419082655,0.0328755546,0.0055989858,0.0332769913,0.0012676949,0.127128671,0.0782801606,0.0259032326,0.0135009508,0.0190576801,0.0142615677,0
60,208,0,965,4728,333,0.3964667214,1.9424815119,0.1368118324,0.1235777497,0.281289507,0.1245259166,4.0866120387,3.3006540538,3.5918486229,0.0862930452,0.0065496286,0.0137069548,0.0049966239,0.0940580689,0.0753544902,0.0206617151,0.01458474,0.0054692775,0.0108710331,0.0082174463
61,209,0,597,3145,2343,0.4519303558,2.3807721423,1.773656321,0.0863916856,0.1071776551,0.0555375122,6.7404239489,4.448144912,3.9311132451,0.0906058055,0.004177969,0.0271879774,0.0217004957,0.1015184111,0.0601440464,0.0562466872,0.0226358619,0.0165248028,0.0156829732,0.0360506658
62,210,0,461,309,1524,4.61,3.09,15.24,0,0.359223301,0.1165048544,0,2.1013305532,2.9688675868,0.009252913,0.0020562029,0.0054832077,0,0.0867032214,0.0339273475,0.0229609321,0.0027416038,0.0664838931,0.0952707334,0
63,211,0,55,8719,3467,0.047660312,7.5554592721,3.0043327556,0.1807077983,0.2333228938,0.2492953335,6.2022133888,4.2875859527,3.4431601571,0.1061604158,0.0016551359,0.0251911682,0.0131086762,0.090535933,0.0516733424,0.0447548744,0.0187361382,0.0131417789,0.0146976067,-0.0003131851
64,212,0,793,2767,284,0.4115204982,1.4359107421,0.1473793461,0.5306211724,0.4711286089,0.0660542432,4.2320516055,1.6094379124,1.9561258283,0.0943952802,0.0068010488,0.0433464438,0.0127826942,0.1310226155,0.0611274992,0.0435922648,0.0149131432,0.0081940347,0.0055719436,0
65,217,0,1651,7421,932,0.6670707071,2.9983838384,0.3765656566,0.5708154506,0.5125178827,0.0493562232,5.633875728,3.0286950042,2.4983960016,0.0540073035,0.0013453777,0.0352681145,0.0025946569,0.0709206227,0.032769556,0.0163367288,0.0062463963,0.0108591197,0.011627907,0.0293276109
66,218,0,53,295,261,0.3173652695,1.7664670659,1.5628742515,0.3423728814,0.3186440678,0.0949152542,4.5896372631,1.9976840192,6.4335392609,0.1176470588,0.0088003705,0.0342751274,0.004631774,0.1241315424,0.0467809171,0.0444650301,0.0287169986,0.0171375637,0.0134321445,0.0101694915
67,219,0,401,11702,227,0.1609795263,4.6977117623,0.091128061,0.170061429,0.3045586809,0.1610087294,4.6250559282,2.9490123307,3.5240449461,0.0828835775,0.0028468062,0.0216179349,0.0049522567,0.068234387,0.0433841409,0.0289128759,0.0109720657,0.005634304,0.0053970702,0.0012932428
68,220,0,43,11189,21125,0.0293115201,7.6271301977,14.4001363327,0.1323529412,0.1294757033,0.060741688,7.6017623043,6.1113267047,5.0057584207,0.1167034289,0.0018046922,0.031949736,0.0192166299,0.0585188156,0.0361941047,0.0515674086,0.0217231468,0.0291758572,0.0311476506,-0.0031969309
69,221,0,1723,7079,1687,0.6916900843,2.8418305901,0.677238057,0.5637562814,0.6105527638,0.0270100503,5.7516077746,2.9655274957,3.9385293675,0.070856831,0.0039112243,0.0164635256,0.0025468437,0.0672184828,0.0716754593,0.0227396762,0.0076405312,0.0124613426,0.0211933782,0.0012562814
70,222,0,1231,4561,709,0.6097077761,2.2590391283,0.3511639425,0.7703150912,0.6650082919,0.0389718076,5.7142345152,3.8740679509,2.3082564148,0.1068279164,0.0025195263,0.0292265054,0.0166288738,0.0637440161,0.0478710003,0.0670194004,0.0249433107,0.0289745528,0.0325018896,0.0145107794
71,230,0,1440,16392,1784166,0.5792437651,6.5937248592,717.685438455,0.192139738,0.4815970056,0.1799750468,4.9038375759,4.6712726422,4.9897635741,0.0459203403,0.0127610209,0.0112625677,0.001933488,0.0965777262,0.0651102088,0.0144528229,0.0059938128,0.0035286156,0.0049303944,0
72,231,0,481,12255,1033,0.1937172775,4.9355618204,0.4160289972,0.0006197707,0.1391385187,0.2048342113,3.0624638741,2.5427709888,3.4838507916,0.1119048244,0.0032828217,0.023688841,0.002337369,0.1278724689,0.0786301442,0.0294928697,0.0114242193,0.014339365,0.007878772,0.0015494267
73,237,0,176,26052,23814,0.1268011527,18.7694524496,17.1570605187,0.0716957606,0.1652119701,0.3438279302,7.9519443869,6.2725405192,5.2863850405,0.079136308,0.0056373983,0.029809073,0.0073658459,0.0943200553,0.0623836622,0.0386906345,0.0145455512,0.0144125937,0.0119395841,0.0003117207
74,238,0,0,4509,8956,0,5.2430232558,10.4139534884,0.0015629884,0.0312597687,0.1212879025,7.7344350759,5.5011871811,4.8442673007,0.0915089641,0.0012450199,0.031810259,0.0121700697,0.0794322709,0.039809512,0.04625249,0.0354519422,0.0180216633,0.0442915837,0.0137542982
75,242,0,317,2006,4771,0.1437641723,0.9097505669,2.1637188209,0.003992016,0.0958083832,0.1167664671,2.6859453247,3.4120593503,2.66539416,0.082757068,0.0027660738,0.0238332636,0.0038274742,0.073686919,0.0503682738,0.0297192113,0.0135087324,0.0158566788,0.0284648291,0
76,244,0,12,47,99,0.1090909091,0.4272727273,0.9,0,0,0.085106383,0,1.0735428464,0,0.0684210526,0.0052631579,0.0315789474,0.0052631579,0.1236842105,0.0473684211,0.0421052632,0.0118421053,0.0157894737,0.0052631579,0
77,245,0,17,108,171,0.1650485437,1.0485436893,1.6601941748,0.0092592593,0.0740740741,0.4074074074,0,0,0,0.0779967159,0.0008210181,0.0172413793,0,0.0927750411,0.1042692939,0.0221674877,0.0008210181,0.0098522167,0.0123152709,0
78,247,0,1,10,14,0.0322580645,0.3225806452,0.4516129032,0,0,0,0,0,0,0.1504424779,0,0.0575221239,0,0.0353982301,0.017699115,0.0265486726,0.0088495575,0.0132743363,0.0309734513,0
79,248,0,6135,12792,5227,4.2427385892,8.8464730291,3.6147994468,0.1549755302,0.3553017945,0.1889070147,6.442333512,4.9713095377,4.2049506662,0.0697479533,0.0092180752,0.0259782118,0.0017404757,0.1463933475,0.0773867079,0.0270740669,0.006027203,0.0073164443,0.0049635789,0.0003262643
80,250,0,424,917,252,3.7522123894,8.1150442478,2.2300884956,0.8588390501,0.7242744063,0.0145118734,3.9573066214,1.4976864075,2.1873223189,0.0903054449,0.0013280212,0.0345285525,0.0066401062,0.1088977424,0.0703851262,0.0278884462,0.005312085,0.0066401062,0.0132802125,0
81,251,0,92,17,21,0.2329113924,0.0430379747,0.053164557,0.25,0.25,0.3125,0,0,0,0.0104712042,0,0.0209424084,0,0.1465968586,0.0209424084,0.0104712042,0.0104712042,0.0261780105,0.0261780105,0.0625
82,254,0,410,3190,239,0.1717637202,1.33640553,0.1001256808,0.3420411007,0.3782654127,0.1295715778,4.1967190485,3.0339739462,2.2427390665,0.0856650702,0.0034450886,0.0212587178,0.0147886732,0.0929333669,0.0443660197,0.038022015,0.0160490715,0.0098311066,0.0104613058,-0.0006966214
83,255,0,456,1865,485,8.2909090909,33.9090909091,8.8181818182,0.5856164384,0.55,0.0143835616,4.8020046758,2.5493649052,5.822758622,0.1413076688,0.0039718912,0.0346776658,0.0116101436,0.0826458906,0.0407882676,0.045218454,0.0168041552,0.0139016193,0.0209288115,0.0479452055
84,260,0,155,4810,2688,0.1043068641,3.2368775236,1.8088829071,0.1752093802,0.4418760469,0.2324958124,4.5633667137,4.4022619887,4.337135604,0.0910973085,0.0020703934,0.0220091817,0.0043658295,0.074084076,0.0765595463,0.0335763795,0.0149878477,0.0152128904,0.0269601224,0.0003350084
85,261,0,286,3075,1030,0.1994421199,2.1443514644,0.7182705718,0.0763333333,0.1526666667,0.096,4.6930178105,4.2713747115,3.900807245,0.1081826832,0.0044957184,0.0307564225,0.0060894386,0.0699809705,0.0435775452,0.0322312084,0.0087059943,0.0106327307,0.0264985728,0.0013333333
86,263,0,43,52,12271,0.0193258427,0.0233707865,5.5150561798,0,0,1,0,0.3445982481,0.2278560564,0.0476190476,0.0023809524,0.0023809524,0,0.0095238095,0.0095238095,0.0333333333,0.05,0.1047619048,0.1380952381,-0.125
87,264,0,27,3069,9473,0.0157894737,1.7947368421,5.5397660819,0.0893333333,0.4283333333,0.432,3.6695448253,6.063056238,5.1007512332,0.0892510169,0.0039379259,0.0040674629,0.0004145185,0.1285525532,0.0787585171,0.0105961294,0.011399259,0.0159848701,0.0186015182,0.2876666667
88,265,0,379,4079,346,0.2017030335,2.1708355508,0.1841405003,0.0548604427,0.0721847931,0.125120308,4.5812050202,4.1130765048,3.0258033808,0.1133791783,0.0016321379,0.0253090181,0.0095316852,0.0446335306,0.0349277507,0.0384096448,0.0168219011,0.0132964833,0.0416086351,0.0003208213
89,266,0,607,1315,755,0.5269097222,1.1414930556,0.6553819444,0.247691016,0.2367758186,0.0411418976,5.1359357367,2.6243625592,1.8768491494,0.1295188557,0.0020806242,0.0289986996,0.0096228869,0.0644993498,0.0423927178,0.0431729519,0.0195058518,0.0172951886,0.0299089727,0.0243492863
90,269,0,581,1549,468,0.5325389551,1.4197983501,0.428964253,0.0500324886,0.2891487979,0.1903833658,4.0435980167,4.0609073421,2.1517150938,0.0754375089,0.0060082972,0.0268942826,0.0029087788,0.0900290878,0.0409136426,0.0300414859,0.0099661437,0.0208383005,0.0172142482,0.0038986355
91,270,0,124,1815,224,0.1029900332,1.5074750831,0.1860465116,0.2979737783,0.3778307509,0.1108462455,4.3706205391,2.8361549757,3.0589177185,0.0992067285,0.003249546,0.0264742426,0.0027716716,0.1121093377,0.0626015483,0.0289591895,0.0094619134,0.008123865,0.0055433432,0.010727056
92,271,0,27,2837,917,0.0379746835,3.9901547117,1.2897327708,0.2552043177,0.2841171935,0.1299151889,5.8074079563,4.3867996721,3.5935055606,0.1261206635,0.002728572,0.0276755165,0.0087920655,0.0841526268,0.0382433193,0.0339988739,0.0209190524,0.0129932002,0.0333059032,0.0065535852
